title,hotels_result,hotels_price_restlt
德天周边酒店,"['崇左绿芳沙屯山庄', '大新德天荣凯硕龙山庄', '大新德天缘宾馆', '大新圣原宾馆', '大新玲珑客栈', '大新乐巢旅馆', '崇左老街土菜馆住宿', '花筑·大新龙莹酒店(德天瀑布店)']","['78', '59', '88', '97', '89', '39', '69', '159']"
友谊关周边酒店,"['凭祥地龙山庄农家乐', '凭祥永顺公寓酒店', '崇左德旺宾馆', '凭祥川江宾馆', '凭祥国宾商务大酒店', '凭祥华越商务大酒店', '凭祥天宝大酒店', '凭祥芙蓉大酒店']","['210', '200', '80', '88', '60', '59', '98', '58']"
NA,[],[]
归龙斜塔周边酒店,"['崇左喜洋洋便捷酒店', '城市便捷酒店(崇左友谊大道店)', '崇左城南旅馆', '城市便捷酒店(崇左沿山路店)', '崇左雅乐居便捷酒店', '雅斯特酒店(崇左沿山路店)', '崇左528主题宾馆', '崇左好时光便捷酒店']","['88', '69', '35', '81', '68', '82', '58', '58']"
崇左大新恩城山水风光周边酒店,"['崇左雅特斯酒店', '崇左德天大酒店', '崇左天湖大酒店', '崇左明都商务宾馆', '崇左幸福公寓', '崇左加洲便捷酒店', '崇左银通快捷酒店', '崇左家园商务酒店']","['88', '82', '336', '68', '58', '68', '70', '98']"
沙屯多级瀑布周边酒店,"['金海岸便捷酒店连锁(崇左车站店)', '崇左雅特斯酒店', '崇左德天大酒店', '崇左天湖大酒店', '崇左明都商务宾馆', '崇左幸福公寓', '崇左加洲便捷酒店', '崇左银通快捷酒店']","['76', '88', '82', '336', '68', '58', '68', '70']"
凭祥古城周边酒店,"['金海岸便捷酒店连锁(崇左车站店)', '崇左雅特斯酒店', '崇左德天大酒店', '崇左天湖大酒店', '崇左明都商务宾馆', '崇左幸福公寓', '崇左加洲便捷酒店', '崇左银通快捷酒店']","['76', '88', '82', '336', '68', '58', '68', '70']"
弄官白头叶猴周边酒店,"['崇左雅特斯酒店', '崇左德天大酒店', '崇左天湖大酒店', '崇左明都商务宾馆', '崇左幸福公寓', '崇左加洲便捷酒店', '崇左银通快捷酒店', '崇左家园商务酒店']","['88', '82', '336', '68', '58', '68', '70', '98']"
NA,[],[]
左江斜塔周边酒店,"['城市便捷酒店(崇左友谊大道店)', '崇左城南旅馆', '城市便捷酒店(崇左沿山路店)', '崇左雅乐居便捷酒店', '雅斯特酒店(崇左沿山路店)', '崇左528主题宾馆', '崇左好时光便捷酒店', '崇左沿山便捷商务酒店']","['69', '35', '81', '68', '82', '58', '58', '60']"
大新黑水河周边酒店,"['崇左雅特斯酒店', '崇左德天大酒店', '崇左天湖大酒店', '崇左明都商务宾馆', '崇左幸福公寓', '崇左加洲便捷酒店', '崇左银通快捷酒店', '崇左家园商务酒店']","['88', '82', '336', '68', '58', '68', '70', '98']"
NA
扶绥银泉山庄周边酒店,"['金海岸便捷酒店连锁(崇左车站店)', '崇左雅特斯酒店', '崇左德天大酒店', '崇左天湖大酒店', '崇左明都商务宾馆', '崇左幸福公寓', '崇左加洲便捷酒店', '崇左银通快捷酒店']","['76', '88', '82', '336', '68', '58', '68', '70']"
刘三姐景观园周边酒店,"['桂林聚龙宾馆', '桂林鑫豪宾馆', '桂林金三角酒店', '桂林瓦窑旅馆', '金海宾馆(桂林瓦窑店)', '桂林华安宾馆', '桂林旺鑫宾馆', '城市便捷酒店(桂林瓦窑店)']","['50', '69', '68', '28', '51', '77', '34', '68']"
